,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MRLOW,PEOE_VSA1,PEOE_VSA7,SMR_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState6,NHOHCount,NOCount,MolLogP,fr_NH2
56,57,5.140218967,9.196697531,-1.320925926,9.196697531,-0.204725439,25.16297253,0.0,25.16297253,90.15,36.45874589,10.21305479,0.0,12.62878915,0.0,4,5,-2.2839,0
57,58,4.180879779,6.459907407,-0.222222222,6.459907407,0.48503496,0.0,14.09534397,0.0,60.27,0.0,0.0,0.0,15.74782733,0.0,3,4,-0.26023,0
58,59,4.387450081,6.611157407,-0.171296296,6.611157407,0.255318571,0.0,21.14301595,0.0,51.48,0.0,0.0,0.0,10.43103873,0.0,2,4,0.08197,0
59,60,4.64785502,10.80314815,-0.710416667,10.80314815,-0.138863168,15.7401046,13.8474744,14.69560176,78.43,17.91832585,9.589074368,6.9237372,10.63357721,0.0,3,5,-1.3805,0
60,61,4.905740835,11.07462963,-1.369312169,11.07462963,-0.419031181,26.05804805,13.8474744,25.53579663,117.1,30.06413306,14.69560176,13.8474744,11.05045608,-1.946944444,5,6,-3.7677,0
61,62,4.297643978,10.64425926,-0.728333333,10.64425926,-0.138617009,15.7401046,6.9237372,14.69560176,78.43,17.91832585,9.589074368,13.97140918,10.63357721,0.0,3,5,-1.7706,0
62,63,4.137229172,10.40916667,-0.26912037,10.40916667,-0.128222638,10.63357721,0.0,9.589074368,58.2,0.0,9.589074368,14.09534397,10.63357721,0.0,2,4,-1.1315,0
63,64,4.328561331,10.48769322,-0.332034203,10.48769322,0.236387256,21.26715442,0.0,9.589074368,82.26,0.0,9.589074368,14.09534397,21.26715442,-0.664068405,4,6,-1.1981,0
64,65,5.172105298,10.67250378,-1.726898148,10.67250378,-0.144954595,20.846632,0.0,19.80212916,98.66,24.02229223,9.589074368,14.09534397,10.63357721,0.0,4,6,-2.7998,0
65,66,4.841273338,10.52935185,-0.587962963,10.52935185,-0.143474667,15.16017895,7.047671983,14.63792753,58.56,12.01114612,4.794537184,7.109797541,10.05365156,-0.587962963,2,4,-1.2603,0
