,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MWHI,BCUT2D_MRLOW,Chi1v,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA1,SlogP_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState3,VSA_EState6,NHOHCount,NOCount,NumHeteroatoms,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_NH2
29,30,4.811271857,10.33787415,-1.016018519,10.33787415,16.50501829,-0.132291799,2.980162819,14.84818874,0.0,0.0,0.0,19.12047451,5.316788604,72.47,6.227901171,14.38361155,6.9237372,10.05365156,2.17625,0.0,1,5,5,-1.137,35.6847,0,0,0
30,31,4.816559178,10.33787415,-1.016018519,10.33787415,16.50501829,-0.132291799,2.980162819,14.84818874,0.0,0.0,0.0,19.12047451,5.316788604,72.47,6.227901171,14.38361155,6.9237372,10.05365156,2.17625,0.0,1,5,5,-1.137,35.6847,0,0,0
31,32,5.505577527,10.18439815,-1.207175926,10.18439815,16.6851447,-0.157869156,2.309295861,10.57125606,0.0,0.0,0.0,19.22120014,11.21376408,98.49,17.78366475,14.38361155,5.480096598,10.57125606,0.0,0.0,3,6,6,-1.934,29.1031,0,0,1
32,33,5.368779097,10.78347222,-1.178240741,10.78347222,16.18798823,-0.138610155,2.870626365,11.05045608,6.578935684,0.0,0.0,14.38361155,11.05045608,89.26,23.51551045,14.38361155,0.0,11.89572429,2.114166667,0.0,3,5,5,-1.6995,34.9741,0,0,1
33,34,4.994055093,12.24712963,-2.153148148,12.24712963,19.1443303,-0.123487117,3.139200422,20.11411937,0.0,6.9237372,6.103966388,24.50453442,0.0,77.76,24.48357456,9.184952232,6.9237372,0.0,26.18107332,0.0,3,4,5,-1.374,34.6544,3,3,0
34,35,5.231773404,10.1353151,-1.526666667,10.1353151,16.50662606,-0.142682937,3.71205887,29.95750972,0.0,0.0,6.606881965,29.95750972,0.0,107.22,31.02274752,9.901064579,7.109797541,4.736862954,35.64570437,0.0,4,6,6,-2.7247,41.9672,4,4,0
35,36,5.2514992,10.1353151,-1.526666667,10.1353151,16.50662606,-0.142682937,3.71205887,29.95750972,0.0,0.0,6.606881965,29.95750972,0.0,107.22,31.02274752,9.901064579,7.109797541,4.736862954,35.64570437,0.0,4,6,6,-2.7247,41.9672,4,4,0
36,37,5.218283634,10.05587113,-1.085787037,10.05587113,16.68410537,-0.169217857,2.977902316,19.37479049,0.0,0.0,6.606881965,24.16932767,0.0,72.83,19.00087508,9.589074368,7.109797541,9.473725908,8.438215231,0.0,1,5,5,-1.2658,34.8838,1,1,0
37,38,5.239748774,10.1353151,-1.526666667,10.1353151,16.50662606,-0.142682937,3.71205887,29.95750972,0.0,0.0,6.606881965,29.95750972,0.0,107.22,31.02274752,9.901064579,7.109797541,4.736862954,35.64570437,0.0,4,6,6,-2.7247,41.9672,4,4,0
38,39,5.080626226,9.789578609,-1.231296296,9.789578609,16.3590752,-0.112913765,3.070812446,20.11411937,0.0,6.9237372,12.20793278,20.11411937,0.0,77.76,18.31189916,4.794537184,6.9237372,0.0,26.40602702,0.0,3,4,4,-1.322,34.3754,3,3,0
