,index,ln_abs_c_interface_mean,MinEStateIndex,BCUT2D_MRLOW,PEOE_VSA1,TPSA,MolLogP
143,144,5.254117929,-0.320740741,-0.141734649,5.316788604,66.48,-1.1186
144,145,4.900840436,-0.264768519,0.235884965,15.7401046,61.36,-1.0923
145,146,4.99593694,-1.324074074,-0.153187367,15.20739338,78.62,-1.3403
146,147,5.091459522,-1.204861111,-0.155400711,9.473725908,74.54,-1.3256
147,148,4.987110444,-1.663194444,-0.160822563,9.473725908,68.14,-1.0943
148,149,4.797241667,-0.852430556,-0.164180898,15.20739338,61.55,-1.1129
149,150,4.41401317,-0.921296296,-0.144051412,15.57705783,72.55,-1.1325
150,151,4.328224429,-0.921296296,-0.144051412,15.57705783,72.55,-1.1325
151,152,5.159303243,-1.900509259,-0.169200991,19.6867807,93.06,-1.9458
152,153,4.405689139,-0.921296296,-0.144051412,15.57705783,72.55,-1.1325
153,154,4.375679987,-0.921296296,-0.144051412,15.57705783,72.55,-1.1325
154,155,4.773409266,-0.538796296,-0.14244621,15.20739338,64.79,-1.1811
155,156,4.741551638,-3.05037037,-0.142078059,10.05365156,72.47,-1.454
156,157,4.976394785,-0.776466837,0.055769691,9.473725908,104.16,-1.1602
157,158,4.731542968,-1.037083333,-0.204651674,24.42364365,68.15,-1.3166
158,159,4.712994492,-1.037083333,-0.204651674,24.42364365,68.15,-1.3166
159,160,4.725588427,-1.037083333,-0.204651674,24.42364365,68.15,-1.3166
160,161,4.68728812,-1.037083333,-0.204651674,24.42364365,68.15,-1.3166
161,162,5.003994171,-3.356481481,0.243525832,5.207253025,66.4,-1.0752
162,163,4.915772256,-0.989305556,-0.128083253,15.52984339,69.56,-1.5243
163,164,4.762388085,-0.195740741,-0.124244639,10.63357721,58.2,-1.1315
164,165,4.629690425,-0.511666667,-0.116972742,11.46733495,108.03,-1.3204
165,166,4.529645162,-0.421666667,-0.116998221,5.733667477,84.66,-1.1675
166,167,4.527463729,-0.954583333,-0.122147684,10.84019487,92.42,-1.8264
167,168,4.782159076,-0.455315334,0.038746374,15.78731903,67.59,-1.0131
168,169,4.889273532,-0.602731481,0.241557126,16.15698348,75.35,-1.353
169,170,5.201596941,-1.41087963,0.050243939,26.37003827,115.81,-2.6296
170,171,4.461613162,-0.51212963,0.242413806,11.05045608,79.18,-1.8689
171,172,4.885359885,-0.722222222,-0.131904455,11.46733495,86.18,-1.0168
172,173,4.741954657,-0.381064815,0.09496122,15.57355102,94.04,-1.1121
173,174,4.482913751,-0.351851852,-0.118663053,10.47053043,55.62,-1.1295
174,175,4.676580213,-1.025462963,-0.128189188,15.57705783,72.55,-1.1309
175,176,4.770840164,-1.025462963,-0.128189188,15.57705783,72.55,-1.1309
176,177,4.723588032,-1.025462963,-0.128189188,15.57705783,72.55,-1.1309
177,178,5.088708125,-0.443657407,-0.123345116,11.05045608,72.19,-1.2497
178,179,4.781895225,-0.338240741,-0.122201149,15.78731903,64.35,-1.5399
179,180,4.516363883,-0.351851852,-0.118663053,10.47053043,55.62,-1.1295
180,181,4.88012701,-0.532407407,-0.1179094,0.0,75.43,-1.5881
181,182,5.131964971,0.681712963,0.674689491,10.74258,67.66,-1.3579
182,183,5.288306895,-1.35587963,-0.120166554,20.63637079,89.79,-1.9957
183,184,4.716146368,-0.028703704,-0.117234098,5.733667477,86.69,-1.1557
184,185,4.956988317,-0.840277778,-0.124328698,15.95036581,87.3,-1.3217
185,186,4.416184795,-0.258171296,-0.124805734,10.63357721,75.27,-1.1723
186,187,4.680441657,-1.25,-0.140562501,16.15698348,75.35,-2.194
187,188,4.824486588,-0.498240741,-0.146018547,15.53348694,61.44,-1.0572
188,189,4.886159323,-0.101851852,-0.115938949,11.46733495,69.11,-1.5271
189,190,5.274468805,-0.935185185,-0.12076893,16.57386235,89.34,-1.8202
190,191,5.181145096,-0.935185185,-0.12076893,16.57386235,89.34,-1.8202
191,192,5.12844348,-1.154305556,-0.138475066,20.42610958,84.16,-2.6246
192,193,5.635701628,-1.082453704,-0.873678272,19.9075017,64.8,-3.7567
193,194,6.076507778,-1.184074074,-0.858086345,20.53464179,70.59,-3.7919
194,195,4.542738753,-0.292824074,-0.133159934,15.37044016,50.36,-1.2792
195,196,6.158670859,-1.184074074,-0.858086345,20.53464179,70.59,-3.7919
196,197,5.079499023,-1.154305556,-0.138475066,20.42610958,84.16,-2.6246
197,198,5.101607312,-0.777777778,-0.122141763,16.15698348,75.35,-1.948
198,199,5.107436848,-0.777777778,-0.122141763,16.15698348,75.35,-1.948
199,200,5.282239207,-1.026898148,-0.871762908,20.53464179,70.59,-3.7903
200,201,5.313822912,-0.333333333,-0.121167481,5.733667477,58.36,-1.7097
201,202,4.942198152,-0.111111111,-0.093643669,15.16017895,41.49,-1.0329
202,203,5.38118078,-0.440972222,-0.134647852,15.78731903,64.35,-1.1514
203,204,5.348791183,-0.440972222,-0.134647852,15.78731903,64.35,-1.1514
204,205,5.032988858,-1.154305556,-0.138475066,20.42610958,84.16,-2.6246
205,206,5.432502894,-0.770833333,-0.018600643,10.423316,73.83,-1.4045
206,207,5.400924571,-0.60087963,-0.126449676,16.78412356,98.21,-1.0387
207,208,4.974762519,0.25,0.098390787,10.21305479,46.94,-1.4114
208,209,4.637890052,-0.575231481,-0.112138949,15.16017895,41.49,-1.0754
209,210,5.442318279,-0.447909108,-0.124919696,10.63357721,87.3,-1.8728
210,211,4.722752647,-0.150580121,0.077435848,20.68722877,62.39,-1.0962
211,212,4.9842103,-0.458333333,-0.125620969,16.36724469,67.15,-1.9669
212,213,4.746222716,0.21875,-0.006289226,15.16017895,41.49,-1.0329
213,214,5.408892499,-0.367916667,-0.124798801,10.05365156,67.43,-1.3625
214,215,5.435153425,-0.447909108,-0.124919696,10.63357721,87.3,-1.8728
215,216,5.206252772,-0.635409108,-0.118918158,16.78412356,98.21,-1.3742
216,217,4.554041377,-0.687083333,-0.125700374,16.0344346,100.87,-1.0578
217,218,4.296186547,-0.064673091,-0.122024463,15.53348694,61.44,-1.1997
218,219,4.829287487,-0.687083333,-0.125700374,16.0344346,100.87,-1.0578
219,220,5.411844666,-1.101851852,-0.655005612,20.95152066,82.76,-3.7432
220,221,4.75607715,-0.741319444,-0.14850845,15.78731903,64.35,-1.5399
221,222,5.468431562,-0.367916667,-0.124798801,10.05365156,67.43,-1.3625
222,223,5.216388223,-0.666666667,-0.119797178,16.20419791,78.34,-1.5546
223,224,5.190267571,-0.666666667,-0.119797178,16.20419791,78.34,-1.5546
224,225,4.644884783,-0.642546296,-0.125676046,16.78412356,98.21,-2.0649
225,226,5.401790444,-0.935185185,-0.12076893,16.57386235,89.34,-1.8202
226,227,5.047903497,-0.784305556,-0.147496516,20.47696756,70.59,-1.5266
227,228,5.401105142,-0.935185185,-0.12076893,16.57386235,89.34,-1.8202
228,229,5.304896953,-0.226435185,0.773775266,5.733667477,76.7,-1.4329
229,230,5.114230237,-0.902777778,-0.119499605,16.57386235,89.34,-2.2087
230,231,5.082829847,-0.902777778,-0.119499605,16.57386235,89.34,-2.2087
231,232,4.768651924,-0.868611111,-0.144037031,15.95036581,75.43,-2.0965
232,233,5.576235725,-0.265910231,-0.120821649,10.63357721,66.64,-1.3642
233,234,5.180002963,-0.356369992,-0.125198596,11.46733495,89.42,-1.331
234,235,4.421252457,-0.275,-0.118694018,15.78731903,64.35,-1.1498
235,236,4.349477836,-0.275,-0.118694018,15.78731903,64.35,-1.1498
236,237,5.278026472,-0.316064815,-0.119713364,10.717646,83.8,-1.0907
237,238,4.741226478,-0.58912037,-0.132516444,11.05045608,72.19,-1.3497
238,239,4.500378668,-0.417824074,-0.130295529,15.78731903,64.35,-1.5399
239,240,4.514711414,-0.417824074,-0.130295529,15.78731903,64.35,-1.5399
240,241,4.815905501,-0.888888889,-0.122596029,16.20419791,78.34,-1.4105
241,242,5.315494212,-0.316064815,-0.119713364,10.717646,83.8,-1.0907
242,243,4.812353115,0.104583333,0.890850521,17.20100243,116.73,-1.5053
243,244,5.75361713,-1.041666667,-0.664686509,20.95152066,82.76,-3.6007
244,245,6.024576339,-0.997268519,-0.664430626,20.95152066,82.76,-3.6007
245,246,5.150487259,-1.190972222,-0.184381484,25.79011262,95.94,-2.6159
246,247,4.751516866,-0.150580121,0.077435848,20.68722877,62.39,-1.0962
247,248,4.855235783,-0.619212963,0.099065322,5.733667477,84.66,-1.0964
248,249,4.701366553,-0.556435185,0.099373957,16.78412356,106.92,-1.1966
249,250,4.333224125,-0.810185185,-0.123443564,16.15698348,75.35,-1.5595
