EGsmlie2D,E,R,SA
CO[C@@]1(CO)OC[C@@H](O)[C@@H](O)[C@H]1O,5.169507321,29.50235043,4.222341204
O[C@@H]1[C@@H]2O[C@@H]2[C@@H](O)[C@H](O)[C@H]1O,5.208643188,29.8152352,3.993526535
CO[C@H]1O[C@H](CO)[C@H](C)[C@@H](O)[C@@H]1O,4.93353273,29.22787857,3.727282658
CO[C@H]1OC[C@@H](O)[C@@H](O)[C@H]1OC,4.622657128,28.71993304,3.748168779
CO[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,4.988243334,28.75727812,3.36143944
CO[C@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O,5.208369319,29.27771713,3.505332884
CC(=O)N[C@@H]1CO[C@H](CO)[C@H]1O,5.010918106,30.22403911,3.656181838
CO[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O,4.988243334,28.75727812,3.36143944
CO[C@H]1O[C@H]2[C@H](O)C(=O)O[C@H]2[C@H]1O,5.184331846,29.89455083,4.264551591
CO[C@H]1O[C@H](CO)[C@H](O)[C@H]1O,4.988243334,28.75727812,3.36143944
CO[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1OC,4.622657128,28.71993304,3.748168779
CO[C@H]1OC[C@@H](O)[C@@H](O)[C@H]1O,4.976830861,28.72880698,3.634829361
CO[C@H]1OC[C@@H](C(C)=O)[C@@H](O)[C@H]1O,4.701991055,29.35490254,3.902193693
CO[C@H]1O[C@H](CO)[C@@H](F)[C@H](O)[C@H]1O,4.989484386,28.9830991,3.91129397
CO[C@H]1[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O,5.174190038,29.54756591,3.644804868
CO[C@H]1[C@@H](O)[C@@H](O)O[C@@H](CO)[C@H]1O,5.212218176,29.27916592,3.751020667
CO[C@H]1OC[C@@H](O)[C@H](O)[C@H]1OC,4.622657128,28.71993304,3.748168779
CO[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,4.976830861,28.72880698,3.634829361
CO[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,5.208369319,29.27771713,3.505332884
CO[C@H]1O[C@H](CO)[C@@H](O)C[C@@H]1O,4.943295991,29.05959434,3.681642337
CO[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O,5.208369319,29.27771713,3.505332884
CO[C@H]1[C@@H](O)[C@H](CO)O[C@H](O)[C@@H]1O,5.212218176,29.27916592,3.751020667
CO[C@H]1[C@@H](O)[C@@H](O)[C@@H](O)O[C@@H]1CO,5.181383837,29.27916592,3.752014332
CO[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1OC,4.622657128,28.71993304,3.748168779
CO[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O,4.976830861,28.72880698,3.634829361
CO[C@@H]1C[C@@H](O)[C@H](O)[C@H](CO)O1,4.932724159,29.1037871,3.747524067
CO[C@H]1O[C@H]2[C@H](O)C(=O)O[C@H]2[C@@H]1O,5.184331846,29.89455083,4.264551591
CO[C@H]1OC[C@H](O)[C@@H](O)[C@H]1O,4.976830861,28.72880698,3.634829361
CO[C@H]1[C@@H](O)[C@@H](O)O[C@H](CO)[C@H]1O,5.212218176,29.27916592,3.751020667
CO[C@H]1[C@H](O)[C@@H](O)O[C@H](CO)[C@H]1O,5.212218176,29.27916592,3.751020667
CO[C@]1(CO)OC[C@@H](O)[C@@H](O)[C@@H]1O,5.169507321,29.50235043,4.222341204
CO[C@]1(CO)OC[C@@H](O)[C@@H](O)[C@H]1O,5.169507321,29.50235043,4.222341204
CO[C@H]1[C@H](CO)O[C@H](O)[C@H](O)[C@@H]1O,5.181383837,29.27916592,3.752014332
CO[C@H]1[C@H](O)[C@@H](O)O[C@@H](CO)[C@H]1O,5.212218176,29.27916592,3.751020667
COC1[C@H](O)[C@@H](O)C(O)[C@H](O)[C@H]1O,5.174190038,29.54756591,3.442473742
CO[C@H]1C[C@H](O)[C@H](O)[C@H](CO)O1,4.932724159,29.1037871,3.747524067
COC1[C@@H](O)[C@@H](O)C(O)[C@@H](O)[C@@H]1O,5.174190038,29.54756591,3.644804868
COC1[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@@H]1O,5.174190038,29.54756591,3.442473742
CS(=O)(=O)CN,5.018688412,33.56789901,2.612599187
CS(=O)(=O)CNC=O,5.203303539,32.62263264,3.265146023
C[C@@H](C(=O)[O-])S(=O)(=O)CC[NH3+],5.294278868,32.43335326,4.926703407
C[C@@H](CNC(N)=O)NC(N)=O,5.018091878,36.51641043,2.912665495
C[C@@H]([NH3+])[C@@H](N)C(=O)[O-],5.520406984,35.79102571,5.540317517
C[C@@H]([NH3+])[C@H](N)C(=O)[O-],5.520406984,35.79102571,5.540317517
C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,5.236008941,29.96511063,3.716914156
C[C@@H](NC=O)c1c[nH]c(=O)[nH]c1=O,5.209363544,36.06754214,3.404410953
C[C@@H](O)C(=O)OCCOCCO,5.023062895,29.00981601,2.781171555
C[C@@H](O)[C@@H]1OC(=O)[C@@H](O)[C@H]1O,5.220019973,30.55885043,4.037859353
C[C@@H](O)[C@H]([NH3+])C(=O)NCC(=O)[O-],5.268322423,35.10699042,4.870934068
C[C@@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O,5.220019973,30.55885043,4.037859353
C[C@@H]1OCO[C@@H](CO)[C@@H](O)[C@@H]1O,4.996234661,29.11727438,3.845602433
C[C@@H]1O[C@@H](O)C[C@@H](O)[C@H]1O,5.086792075,28.730409,3.923607716
C[C@@H]1O[C@H](O)C[C@@H](O)[C@H]1O,5.086792075,28.730409,3.923607716
C[C@@H]1O[C@H](O)C[C@H](O)[C@H]1O,5.086792075,28.730409,3.923607716
C[C@@](O)(CO)C[C@@](C)(O)CO,4.83738542,29.75708282,3.874583612
C[C@@]1(F)C(=O)O[C@@H](CO)[C@H]1O,5.000518813,29.84459496,4.191641643
C[C@]1(O)C(=O)NC(=O)N[C@@H]1O,5.031290774,32.41983773,4.00372537
C[C@H](CNC(N)=O)NC(N)=O,5.018091878,36.51641043,2.912665495
C[C@H](NC=O)c1c[nH]c(=O)[nH]c1=O,5.209363544,36.06754214,3.404410953
C[C@H](O)C(=O)NC(C)(CO)CO,4.967231345,31.11075426,3.243912325
C[C@H](O)[C@@H]1OC(=O)[C@@H](O)[C@H]1O,5.220019973,30.55885043,4.037859353
C[C@H]1O[C@H](O)[C@H](O)[C@H](O)[C@@H]1O,5.236008941,29.96511063,3.716914156
C[C@H]1C(=O)N(C)C(=O)[C@@H]1N,5.113125052,31.45236254,3.66978495
C[C@H]1C[C@H](O)[C@@H](O)[C@@H](O)O1,5.077860621,28.83206439,3.976734343
C[C@H]1NC(=O)[C@H](CO)NC1=O,4.930931977,30.36029203,3.276843559
C[C@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O,5.236008941,29.96511063,3.716914156
C[C@H]1O[C@H](O)[C@H](O)[C@@H]1O,5.022084221,28.17159784,3.635909552
C[C@]1(O)C(=O)O[C@@H](CO)[C@H]1O,5.13279331,30.5717082,3.967788896
C[C@]1(O)C(=O)O[C@H](CO)[C@@H]1O,5.13279331,30.5717082,3.967788896
Cn1c(=O)[nH]c2[nH]cc(O)c2c1=O,5.01108445,35.40697942,3.10105953
C[C@H]1O[C@@H](O)C[C@@H](O)[C@H]1O,5.086792075,28.730409,3.923607716
C[C@H]1OCO[C@@H](CO)[C@@H](O)[C@H]1O,4.996234661,29.11727438,3.845602433
Cn1ncc(N)c(N)c1=O,4.848681549,36.92901464,2.770706645
C[C@H]1OCO[C@@H](CO)[C@@H](O)[C@@H]1O,4.996234661,29.11727438,3.845602433
O[C@H]1[C@H]2CO[C@H](O2)[C@@H]1O,4.966435391,28.61238921,4.72782452
N=NC(N)NO,5.19334018,39.12089948,5.338664388
NC(=O)C(=O)NCCCO,5.114998897,33.56673086,2.16884629
NC(=O)C(=O)NCc1c[nH]cn1,5.32006997,33.94697997,2.88519331
NC(=O)C(F)C(N)=O,5.154008775,35.22806961,3.116854079
NC(=O)C(=O)NCCO,5.086124504,33.13806239,2.232709613
NC(=O)CCC(F)(C(N)=O)C(N)=O,5.164685605,36.47431347,3.036590231
NC(=O)CCc1nc(N)nc(N)n1,4.734202333,36.77801421,2.440158871
NC(=O)C[C@@H](N)C(N)=O,4.962710959,37.38467047,2.7267094
CNC(=O)C(N)=O,5.005174266,34.5243837,2.450160238
NC(=O)Cc1cn[nH]n1,4.962405195,34.79357914,2.91945693
NC(=O)[C@@H]1[C@H]2C[C@@H]3[C@@H](NC(=O)[C@H]31)[C@H]2O,5.076066941,33.80738374,5.247795561
C[C@H]1O[C@@H](O)[C@@H](O)[C@@H]1O,5.022084221,28.17159784,3.635909552
NC(=O)[C@H]1CC[C@@H]1C(N)=O,5.186898297,34.47761404,3.27414495
NC(=O)[C@H]1CCC[C@]12NC(=O)NC2=O,5.061834964,34.86296492,4.13990337
NC(=O)[C@H](F)C[C@@H]([NH3+])C(=O)[O-],5.609984744,36.47507155,5.357993868
NC(=O)[C@H]1CC(O)C[C@H](C(N)=O)O1,5.082541255,34.82935234,3.97597099
NC(=O)[C@H](O)[C@@H](O)CO,5.121992372,31.51386002,3.400998696
NC(=O)[C@H]1CCC[C@@]12NC(=O)NC2=O,5.061834964,34.86296492,4.13990337
NC(=O)[C@H](F)C[C@H]([NH3+])C(=O)[O-],5.609984744,36.47507155,5.357993868
NC(=O)[C@H]1CC[C@H](C(=O)[O-])[NH2+]1,5.551192174,32.7470564,5.678893426
NC(=O)c1cc(=O)[nH]cn1,4.959619417,36.20631532,2.826382187
NC(=O)[C@H]1[C@H]2C(=O)N[C@@H]3[C@H]2C[C@H]1[C@@H]3O,5.076066941,33.80738374,5.247795561
NC(=O)[C@H]1CC[C@H]1C(N)=O,5.186898297,34.47761404,3.27414495
NC(=O)c1cnc2ncnn2c1N,4.655593543,35.74949518,2.737020519
NCC(=O)[C@@H](O)[C@H](O)[C@@H](O)CO,5.157528675,30.32201094,3.810640011
NCC(=O)[C@@H](O)[C@@H](O)[C@H](O)CO,5.157528675,30.32201094,3.810640011
NCC(=O)[C@@H](O)[C@@H](O)[C@@H](O)CO,5.157528675,30.32201094,3.810640011
NN1C(=O)C=CC1=O,5.174932097,32.58166216,3.407022616
NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H](O3)[C@H]2C1=O,5.001968241,32.29762099,5.117619955
NN1CCN(N)C(=O)C1=O,5.262095098,33.03256787,3.576675284
OC[C@@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1F,5.21124034,29.77591635,4.04069292
NNC1=NC(=O)C(=O)N1,5.217106834,36.73241523,3.5627857
OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](F)[C@H]1O,5.182793635,29.77591635,4.039040315
NNc1ncnn1N,5.057555094,37.17439274,3.778906932
NS(=O)(=O)c1cc(=O)[nH]c(=O)[nH]1,5.264568151,36.47036029,2.962502355
N[C@@H]1C(=O)O[C@@H]([C@H](O)CO)[C@@H]1O,5.242283891,31.00486336,4.299592833
N[C@@H]1C=NNC1=O,5.155924081,33.31397868,4.488526657
N[C@@H]1C(=O)O[C@H]([C@H](O)CO)[C@@H]1O,5.242283891,31.00486336,4.299592833
N[C@@H]1C(=O)O[C@@H]([C@@H](O)CO)[C@@H]1O,5.242283891,31.00486336,4.299592833
N[C@@H]1C(=O)O[C@H]([C@@H](O)CO)[C@@H]1O,5.242283891,31.00486336,4.299592833
N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,5.21797747,31.32657375,3.992155452
N[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,5.21797747,31.32657375,3.992155452
CNC(=O)[C@H](CC(N)=O)NC(C)=O,4.894769177,34.401573,2.477588975
N[C@H]1C=NNC1=O,5.155924081,33.31397868,4.488526657
Nc1n[nH]nc1NC=O,5.050056256,34.2413085,3.581125853
Nc1nc2c(=O)[nH]c(=O)[nH]c2c(=O)[nH]1,5.133319155,36.48719796,2.909127954
Nn1cnc2n[nH]cc2c1=O,4.708582382,35.54026384,3.598271304
OCC(CO)OCOC(CO)CO,5.069714311,28.82337327,3.094207662
OCCN(CO)CO,4.909208689,29.47180224,3.179879759
OCOCCOCO,4.910097797,30.25165101,3.071595044
OC[C@@H](O)[C@H](F)[C@H](O)[C@H](O)CO,5.102930184,29.00269168,4.154883106
OC[C@@H]1OC[C@H](O)[C@@H]1O,4.940678602,28.15396809,3.546172611
C1NNCC12CNNC2,4.829164304,32.0423827,5.476797745
OC[C@@H]1OCO[C@@H]([C@H](O)CO)[C@H]1O,5.229997284,29.33976379,4.168437778
OC[C@@H]1OCO[C@H](CO)[C@H](O)[C@H]1O,5.148311261,29.33976379,3.758698437
OC[C@@H]1OCO[C@H](CO)[C@@H](O)[C@@H]1O,5.148311261,29.33976379,3.758698437
OC[C@@H]1O[C@@H](O)[C@H](F)[C@H](O)[C@H]1O,5.178500117,29.77616621,3.987715749
OC[C@@H]1O[C@H](O)[C@@H](O)[C@@H]1F,4.984286387,28.36774825,3.990979905
OC[C@@H]1O[C@H](O)[C@H](O)[C@H](F)[C@@H]1O,5.182793635,29.77591635,4.039040315
OC[C@@H]1S[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,5.099428933,29.32371465,4.567597139
OC[C@@H]1O[C@H](O)[C@@H](F)[C@H](O)[C@@H]1O,5.178500117,29.77616621,3.987715749
OC[C@@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,5.195623934,29.37685383,3.590001244
OC[C@@H]1OCO[C@@H](CO)C1O,4.967306107,28.79830686,3.690217458
OC[C@@]1(O)OC[C@@H](O)[C@@H]1O,5.179274991,29.14984396,4.164330538
OC[C@@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,5.125259245,29.32854106,4.137534768
OC[C@H]1O[C@@H](O)[C@@H](O)[C@H]1F,4.984286387,28.36774825,3.990979905
OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1F,5.21124034,29.77591635,4.04069292
OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1F,5.21124034,29.77591635,4.04069292
OC[C@H]1O[C@H](O)C[C@H]1O,4.952182572,28.37103291,3.681184149
OC[C@H]1O[C@@H](O)[C@@H](O)[C@H]1O,5.236344669,29.2672836,3.476499432
OC[C@]1(O)OC[C@@H](O)[C@@H]1O,5.179274991,29.14984396,4.164330538
O[C@@H]1CO[C@@H]2O[C@H]1[C@H](O)[C@H]2O,4.964939276,29.20023766,4.860514574
O[C@@H]1O[C@H]2CO[C@H]([C@@H]2O)[C@H]1O,4.976550027,29.20023766,4.965800728
O[C@@H]1[C@H](O)O[C@H]2CO[C@@H]1[C@@H]2O,4.976550027,29.20023766,4.965800728
O[C@H](CF)[C@@H](O)[C@H](O)[C@H](O)CF,4.981929378,29.07081457,4.326321567
O[C@H](CF)[C@@H](O)[C@H](O)[C@@H](O)CF,4.981929378,29.07081457,4.326321567
O[C@H]1C2CC([C@H]1O)[C@@H](O)[C@H]2O,4.981302424,29.49398323,4.74396925
