EGsmlie2D,E,R,SA
CC(=O)N[C@@H](O)[C@@H](O)NC(C)=O,4.58,33.36,3.63
CC(=O)N[C@@H](O)[C@H](O)NC(C)=O,4.52,32.89,3.63
CC(=O)N[C@H](C)C(N)=O,4.99,33.97,2.43
CC(=O)N[C@H](O)[C@@H](O)NC(C)=O,4.61,33.34,3.63
CC(C)(CO)[C@H](O)C(=O)NCCO,4.98,31.12,2.93
CC(C)(CO)[C@@H](O)C(=O)NCCO,4.99,30.98,2.93
CCNC(=O)C(=O)NCCOC,4.37,28.05,1.95
CCNC(=O)C(=O)NCCO,5.08,30.02,2.04
CNC(=O)C(=O)NC,4.78,28.4,2.31
CNC(=O)CN1C(=O)CCC1=O,5.25,30.95,2.13
CNC(=O)NCCO,4.9,32.24,2.11
COC(=O)C(N)C(=O)OC,5,30.48,2.5
COC(=O)C1(C(=O)OC)CN1,5.09,28.92,3
COC(=O)C1(C(=O)OC)ON1C,4.99,28.64,3.65
COC(=O)C1(N)COC1,4.8,30.31,2.88
COC(=O)[C@@H](N)[C@@H](C)O,4.41,32.3,2.99
COC(=O)[C@@H](N)[C@H](C)O,4.33,32.73,2.99
COC(=O)[C@@H](O)[C@@H](O)C(=O)OC,5.16,29.94,3.01
COC(=O)[C@H](N)[C@H](C)O,4.41,32.43,2.99
COC(=O)[C@H](N)[C@@H](C)O,4.38,32.57,2.99
COC(=O)[C@H](N)CN1CCOCC1,4.77,29.99,2.62
COC(=O)[C@H]1CS(=O)(=O)CCN1,4.74,33.42,3.38
COC(=O)c1nnc(C(=O)OC)nn1,4.98,29.45,2.79
CO[C@H]1O[C@H](OC)[C@H](O)[C@@H]1O,4.73,27.92,3.58
CO[C@H]1O[C@@H](OC)[C@H](O)[C@H]1O,4.71,27.81,3.58
CO[C@H]1O[C@@H](OC)[C@H](O)[C@@H]1O,4.73,28.07,3.58
CO[C@H]1O[C@@H](OC)[C@@H](O)[C@H]1O,4.69,28.26,3.58
CS(=O)(=O)NO,5,37.41,2.66
C[C@@H](O)C(=O)NCCO,4.92,30.24,2.67
CNC(=O)CNC(C)=O,4.76,31.85,1.92
NC(=O)Cc1nonc1N,4.63,34.7,3.02
NC(=O)Cc1nc[nH]n1,4.53,34.69,3.68
NC(=O)NC(=O)CO,4.53,35.89,2.33
NC(=O)NCCN1CCOCC1,4.78,29.41,1.98
NC(=O)NCCO,4.89,32.75,2.13
NC(=O)NC(CO)(CO)CO,5.2,31.53,3.02
NC(=O)NC1NCCN1,4.46,34.59,3.47
NC(=O)C(C(N)=O)C1CC1,4.89,34.42,2.7
CNC(=O)c1noc(CN)n1,4.74,34.36,2.77
NC(=O)[C@@H]1CO1,4.48,29.23,3.24
NC(=O)[C@@H](O)[C@H]1CCOC1,4.68,28.96,3.59
NC(=O)[C@@H](O)[C@@H]1CCOC1,4.77,29.54,3.59
NC(=O)[C@H](O)[C@@H]1CCOC1,4.72,29.35,3.59
NC(=O)[C@H]1CCC(=O)N1,5.09,31.79,2.87
NC(=O)[C@H]1COCCN1,4.78,30.51,3.27
NC(=O)[C@H]1CO1,4.52,28.5,3.24
NN1CC(=O)NC1=O,4.88,33.42,3.29
C1CNn2nnnc2N1,5.13,33.53,4.49
C=CC(=O)NC(CO)(CO)CO,5.29,30.62,3.06
CC(=O)Cn1nnnc1N,4.72,35.6,2.74
CC(=O)NC(NC(C)=O)NC(C)=O,4.96,35.46,2.74
CC(=O)NCC(=O)CNC(C)=O,4.42,31.35,2.29
NC(=O)C1(O)CNC1,4.68,28.99,3.4
CC(C)NC(=O)C(=O)N1CCNCC1,4.82,30.42,2.29
NCC(=O)CN,4.89,35.22,2.98
C[C@H](O)[C@@H](N)C(N)=O,5.27,34.16,3.33
C[C@H](O)[C@H](N)C(N)=O,5.18,34.06,3.33
CN1C[C@H](O)[C@H](O)[C@@H](O)[C@@H]1CO,5.13,29.27,3.97
C[N@@H+](CCO)CC(=O)[O-],5.64,31.59,5.99
C[NH+](C)C[C@H](N)C(=O)[O-],6.08,31.07,5.87
CNC(=O)[C@@H]1CNCCO1,4.54,29.65,3.05
