,index,Water_all_overlap_factor_100,MaxEStateIndex,MaxAbsEStateIndex,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa3,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,SMR_VSA3,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,EState_VSA9,VSA_EState3,VSA_EState4,VSA_EState6,NHOHCount,NOCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedHeterocycles,NumSaturatedRings,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_NH1,fr_NH2,fr_aldehyde,fr_ether,fr_methoxy,fr_priamide
36,37,29.5880719,10.05587113,10.05587113,1.454545455,16.68410537,5.581013971,-0.169217857,6.096714615,6.096714615,2.977902316,2.977902316,1.733366999,1.733366999,0.984059815,0.984059815,0.433602639,0.433602639,-0.78,3.817856514,19.37479049,4.794537184,0.0,0.0,0.0,0.0,13.71667951,0.0,43.78952106,72.83,5.106527395,8.438215231,0.0,0.0,1,5,0,5,0,0,-1.2658,34.8838,1,1,0,0,0,2,2,1,0
37,38,28.4531658,10.1353151,10.1353151,1.384615385,16.50662606,5.563458655,-0.142682937,7.19920909,7.19920909,3.71205887,3.71205887,2.567507445,2.567507445,1.666080684,1.666080684,0.885256055,0.885256055,-0.53,3.370369888,29.95750972,0.0,0.0,0.0,0.0,0.0,13.71667951,0.0,64.84481516,107.22,15.31958218,35.64570437,0.0,0.0,4,6,0,6,0,0,-2.7247,41.9672,4,4,0,0,0,1,1,1,0
38,39,28.8482596,9.789578609,9.789578609,1.4,16.3590752,5.497212638,-0.112913765,5.766396935,5.766396935,3.070812446,3.070812446,2.20091248,2.20091248,1.226196297,1.226196297,0.559511326,0.559511326,-0.45,2.910212035,20.11411937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91764187,77.76,15.31958218,26.40602702,0.0,0.0,3,4,0,4,0,0,-1.322,34.3754,3,3,0,0,0,1,0,0,0
39,40,28.8726689,9.72962963,9.72962963,1.333333333,16.36231088,5.56119569,-0.124642341,5.059290154,5.059290154,2.587649199,2.587649199,1.857871159,1.857871159,0.983590104,0.983590104,0.365855165,0.365855165,-0.45,2.549917765,20.11411937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91764187,77.76,15.31958218,25.73601852,0.0,0.0,3,4,0,4,0,0,-1.7121,29.7584,3,3,0,0,0,1,0,0,0
40,41,28.4562899,9.72962963,9.72962963,1.333333333,16.36231088,5.56119569,-0.124642341,5.059290154,5.059290154,2.587649199,2.587649199,1.857871159,1.857871159,0.983590104,0.983590104,0.365855165,0.365855165,-0.45,2.549917765,20.11411937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91764187,77.76,15.31958218,25.73601852,0.0,0.0,3,4,0,4,0,0,-1.7121,29.7584,3,3,0,0,0,1,0,0,0
41,42,29.8067916,9.536296296,9.536296296,1.571428571,16.33226979,5.557323393,-0.118917718,4.034726289,4.034726289,1.996116976,1.996116976,1.367278672,1.367278672,0.633679734,0.633679734,0.113703839,0.113703839,-0.41,2.305563506,15.00759197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.70714809,57.53,10.21305479,16.65675926,0.0,0.0,2,3,0,3,0,0,-1.073,23.7516,2,2,0,0,0,1,0,0,0
42,43,29.7316448,9.536296296,9.536296296,1.571428571,16.33226979,5.557323393,-0.118917718,4.034726289,4.034726289,1.996116976,1.996116976,1.367278672,1.367278672,0.633679734,0.633679734,0.113703839,0.113703839,-0.41,2.305563506,15.00759197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.70714809,57.53,10.21305479,16.65675926,0.0,0.0,2,3,0,3,0,0,-1.073,23.7516,2,2,0,0,0,1,0,0,0
43,44,28.4680699,9.72962963,9.72962963,1.333333333,16.36231088,5.56119569,-0.124642341,5.059290154,5.059290154,2.587649199,2.587649199,1.857871159,1.857871159,0.983590104,0.983590104,0.365855165,0.365855165,-0.45,2.549917765,20.11411937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91764187,77.76,15.31958218,25.73601852,0.0,0.0,3,4,0,4,0,0,-1.7121,29.7584,3,3,0,0,0,1,0,0,0
44,45,28.2179808,9.72962963,9.72962963,1.333333333,16.36231088,5.56119569,-0.124642341,5.059290154,5.059290154,2.587649199,2.587649199,1.857871159,1.857871159,0.983590104,0.983590104,0.365855165,0.365855165,-0.45,2.549917765,20.11411937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91764187,77.76,15.31958218,25.73601852,0.0,0.0,3,4,0,4,0,0,-1.7121,29.7584,3,3,0,0,0,1,0,0,0
45,46,39.4668594,10.36779856,10.36779856,1.0,16.67133865,5.843325883,-0.173217264,5.83682143,5.83682143,2.714982484,2.714982484,1.763448068,1.763448068,1.014363045,1.014363045,0.397224369,0.397224369,-1.22,2.432791231,19.88823196,0.0,9.589074368,11.79395094,0.0,11.79395094,0.0,11.79395094,34.35959814,145.1,10.21305479,17.45361111,0.0,0.0,6,8,0,8,0,0,-3.458,32.5724,2,2,0,0,2,0,0,0,0
