,index,Water_all_overlap_factor_100,Chi0n,Chi2n,Chi3n,HallKierAlpha,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,fr_Al_OH,fr_NH2,fr_ether
72,73,29.1596358,7.751995495,3.301503202,2.475063342,-0.2,0.0,5.917906046,13.71667951,0.0,53.63818758,79.15,0.0,3,3,0,2
73,74,29.5631546,7.63567992,3.135754621,2.235537183,-0.49,0.0,5.917906046,13.71667951,0.0,48.21093875,75.99,0.0,2,2,0,2
74,75,35.9940354,6.118591722,2.22412878,1.135121991,-1.37,0.0,0.0,6.255769184,11.24901029,24.64152321,99.86,-1.5675,2,0,0,0
75,76,31.1811102,7.241452909,3.042112177,1.50236801,-0.65,0.0,0.0,13.21376393,5.316788604,46.08341748,89.79,-1.061435185,4,3,0,0
76,77,29.4985594,6.164482801,2.270146446,0.951147215,-0.61,0.0,0.0,6.544756406,5.316788604,34.8729237,69.56,0.0,3,2,0,0
77,78,30.4009138,7.981559723,4.078914654,3.169652895,-0.2,0.0,0.0,6.606881965,0.0,50.12617071,90.15,-4.838726852,4,4,0,1
78,79,38.1352603,6.788274041,2.715816047,1.92612194,-1.98,0.0,7.047671983,0.0,11.24901029,19.64158408,90.88,-0.789398148,3,0,0,0
79,80,28.0500801,7.346065215,2.181377656,1.244086351,-1.1,0.0,0.0,27.30910789,10.63357721,39.12346735,67.43,0.0,2,0,0,1
80,81,27.7707882,6.638958434,1.827824266,1.025034161,-1.1,0.0,0.0,27.30910789,10.63357721,39.12346735,67.43,0.0,2,0,0,1
81,82,30.5969294,6.376594352,2.429547773,1.580599448,-0.81,0.0,5.733667477,32.97196793,11.05045608,43.90299217,67.59,4.901658872,3,0,1,1
82,83,32.0579227,5.948359511,2.704191024,1.921491072,-1.1,0.0,5.733667477,0.0,16.15698348,23.96016668,99.83,4.976578798,4,0,2,0
83,84,34.2044143,6.843547025,3.306518877,2.55658801,-1.36,0.0,23.30314705,0.0,11.46733495,24.02229223,95.41,10.3037037,4,0,2,1
