,index,Water_all_overlap_factor_100,SMR_VSA4,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,fr_NH2
136,137,33.9651453,5.733667477,11.05045608,17.85620029,72.19,4.830601852,1
137,138,33.3370962,0.0,10.63357721,34.48321659,98.66,0.0,0
138,139,31.1227933,5.414990469,5.316788604,47.08924864,89.79,-0.861568405,0
139,140,30.9773476,5.414990469,5.316788604,47.08924864,89.79,-0.861568405,0
140,141,28.0471645,0.0,10.63357721,38.62055178,67.43,0.0,0
141,142,30.015373,0.0,10.63357721,36.61728163,78.43,0.0,0
142,143,28.4025761,0.0,10.63357721,25.90970342,58.2,0.0,0
143,144,30.953057,0.0,5.316788604,36.21387731,66.48,0.0,0
144,145,32.2385836,0.0,10.63357721,31.33695226,61.36,0.0,0
145,146,30.4836773,5.733667477,5.733667477,32.20004649,78.62,5.032685185,1
146,147,28.9182672,0.0,5.316788604,38.24188732,74.54,-1.204861111,0
147,148,28.6390369,0.0,0.0,43.99408096,68.14,-1.663194444,0
148,149,30.3145244,5.733667477,5.733667477,31.83179201,61.55,4.604884259,1
149,150,32.2959488,5.733667477,5.733667477,30.33143744,72.55,5.145972222,1
150,151,32.7280723,5.733667477,5.733667477,30.33143744,72.55,5.145972222,1
151,152,29.9445206,0.0,0.0,48.57919322,93.06,0.0,0
152,153,32.4324217,5.733667477,5.733667477,30.33143744,72.55,5.145972222,1
153,154,32.571252,5.733667477,5.733667477,30.33143744,72.55,5.145972222,1
154,155,29.988725,5.733667477,5.733667477,56.86888654,64.79,5.601546674,1
155,156,33.4200105,0.0,5.316788604,45.58920426,72.47,0.0,0
156,157,29.4464056,0.0,0.0,46.55293289,104.16,0.0,0
157,158,27.9246563,0.0,0.0,49.22063611,68.15,0.0,0
158,159,27.8135498,0.0,0.0,49.22063611,68.15,0.0,0
159,160,28.0743187,0.0,0.0,49.22063611,68.15,0.0,0
160,161,28.2566365,0.0,0.0,49.22063611,68.15,0.0,0
161,162,37.4133403,0.0,4.885402859,19.88081919,66.4,0.0,0
162,163,30.2421238,0.0,5.316788604,35.37583928,69.56,0.0,0
163,164,31.8465061,0.0,10.63357721,25.40678785,58.2,0.0,0
164,165,34.7004315,5.733667477,11.46733495,16.22050624,108.03,10.34703704,2
165,166,34.6883364,5.733667477,5.733667477,21.08852187,84.66,4.850833333,1
166,167,35.8901847,5.733667477,11.05045608,23.6517036,92.42,4.486944444,1
167,168,29.4055983,5.733667477,11.05045608,50.3238138,67.59,4.914810878,1
168,169,32.7469311,5.733667477,11.05045608,24.28928028,75.35,4.617361111,1
169,170,31.5306214,5.733667477,11.05045608,46.71026784,115.81,3.31099537,1
170,171,34.5856655,5.733667477,21.68403329,25.41033772,79.18,4.842222222,1
171,172,34.4165391,23.30314705,11.46733495,11.81435946,86.18,9.877592593,2
172,173,34.3571758,5.733667477,11.05045608,23.09549349,94.04,5.176795163,1
173,174,29.2329175,5.733667477,5.733667477,18.61802808,55.62,4.733796296,1
174,175,28.9564303,11.65157352,5.733667477,30.33143744,72.55,4.871296296,1
175,176,29.5392588,11.65157352,5.733667477,30.33143744,72.55,4.871296296,1
176,177,29.3496486,11.65157352,5.733667477,30.33143744,72.55,4.871296296,1
177,178,31.7947323,5.733667477,11.05045608,17.85620029,72.19,4.906296296,1
178,179,30.5089232,5.733667477,11.05045608,31.70754089,64.35,4.985740741,1
179,180,28.4976682,5.733667477,5.733667477,18.61802808,55.62,4.733796296,1
180,181,33.4157691,5.84267027,11.15945887,23.49196317,75.43,0.0,1
181,182,33.5276614,0.0,10.74258,33.40577054,67.66,2.960648148,0
182,183,30.6238986,0.0,5.316788604,46.58633306,89.79,-1.35587963,0
183,184,35.6022219,0.0,5.733667477,25.99049988,86.69,5.263472222,1
184,185,35.4617695,0.0,15.95036581,24.01124958,87.3,0.0,0
185,186,31.350229,0.0,10.63357721,30.68711722,75.27,0.0,0
186,187,28.9914836,5.733667477,11.05045608,29.70427075,75.35,3.553055556,1
187,188,30.4203128,0.0,10.63357721,48.93513564,61.44,0.0,0
188,189,35.2186519,11.46733495,11.46733495,18.87275776,69.11,9.706018519,2
189,190,34.1571897,11.46733495,11.46733495,23.15951434,89.34,9.747685185,2
190,191,34.0590008,11.46733495,11.46733495,23.15951434,89.34,9.747685185,2
191,192,29.2676375,0.0,0.0,69.87906966,84.16,0.0,0
192,193,31.5865046,0.0,10.00643713,37.81989944,64.8,0.0,0
193,194,31.0683532,5.733667477,15.7401046,32.65124649,70.59,5.134537037,1
194,195,29.6532911,0.0,10.63357721,38.75521288,50.36,0.0,0
195,196,31.1504365,5.733667477,15.7401046,32.65124649,70.59,5.134537037,1
196,197,30.0746228,0.0,0.0,69.87906966,84.16,0.0,0
197,198,32.4505545,5.733667477,11.05045608,30.7101019,75.35,5.064953704,1
198,199,32.1660816,5.733667477,11.05045608,30.7101019,75.35,5.064953704,1
199,200,31.3845384,5.733667477,15.7401046,32.65124649,70.59,5.170976946,1
200,201,32.9194549,5.733667477,11.15945887,30.55036147,58.36,7.850833333,1
201,202,29.6869673,0.0,5.316788604,37.51377052,41.49,-0.111111111,0
202,203,32.09052,5.733667477,11.05045608,31.20462532,64.35,5.025462963,1
203,204,32.2194925,5.733667477,11.05045608,31.20462532,64.35,5.025462963,1
204,205,29.8716804,0.0,0.0,69.87906966,84.16,0.0,0
205,206,29.6409659,0.0,5.316788604,33.60678892,73.83,-0.153935185,0
206,207,34.2253298,17.385241,16.78412356,24.40095669,98.21,10.18065098,2
207,208,27.586916,0.0,0.0,72.49517662,46.94,0.0,0
208,209,28.0584698,0.0,5.316788604,31.0929489,41.49,0.0,0
209,210,31.5133457,0.0,15.95036581,36.85289283,87.3,0.0,0
210,211,31.7463526,0.0,15.95036581,45.42390407,62.39,0.0,0
211,212,32.0069945,5.733667477,16.36724469,31.58328978,67.15,4.643472222,1
212,213,27.9876321,0.0,5.316788604,37.51377052,41.49,0.0,0
213,214,29.2242867,0.0,10.63357721,38.1176362,67.43,0.0,0
214,215,31.9123154,0.0,15.95036581,36.85289283,87.3,0.0,0
215,216,34.4871016,11.46733495,16.78412356,29.48584228,98.21,10.23866339,2
216,217,35.2459866,5.733667477,11.05045608,27.82415733,100.87,5.865993008,1
217,218,31.1593736,0.0,10.63357721,50.94679795,61.44,0.0,0
218,219,35.7308473,5.733667477,11.05045608,27.82415733,100.87,5.865993008,1
219,220,34.6819561,5.733667477,16.15698348,25.60357451,82.76,5.03212963,2
220,221,29.5512523,5.733667477,11.05045608,31.70754089,64.35,4.77849537,1
221,222,30.0031223,0.0,10.63357721,38.1176362,67.43,0.0,0
222,223,32.9463544,11.46733495,11.46733495,25.66570006,78.34,9.905555556,2
223,224,32.4816985,11.46733495,11.46733495,25.66570006,78.34,9.905555556,2
224,225,35.3922427,11.46733495,16.78412356,24.40095669,98.21,9.800812547,2
225,226,34.0141767,11.46733495,11.46733495,23.15951434,89.34,9.747685185,2
226,227,29.9232349,0.0,10.63357721,49.46279108,70.59,-0.784305556,0
227,228,34.2993094,11.46733495,11.46733495,23.15951434,89.34,9.747685185,2
228,229,35.0496313,12.78133946,11.42341088,14.76446326,76.7,4.995324074,1
229,230,32.6913875,11.46733495,11.46733495,23.66242992,89.34,9.51375,2
230,231,33.1562429,11.46733495,11.46733495,23.66242992,89.34,9.51375,2
231,232,30.8699146,5.733667477,11.05045608,42.89329481,75.43,4.816260393,1
232,233,29.8324167,5.733667477,5.733667477,54.84087653,66.64,5.030898841,1
233,234,31.8650685,17.385241,11.46733495,36.34853841,89.42,10.22648998,2
234,235,30.234693,5.733667477,11.05045608,31.70754089,64.35,4.988798186,1
235,236,29.5658726,5.733667477,11.05045608,31.70754089,64.35,4.988798186,1
236,237,34.4169524,5.733667477,11.05045608,21.9169776,83.8,7.144437831,1
237,238,31.8417088,11.65157352,11.05045608,24.77993749,72.19,4.957824074,1
238,239,30.4416167,5.733667477,11.05045608,31.70754089,64.35,4.963240741,1
239,240,30.2975106,5.733667477,11.05045608,31.70754089,64.35,4.963240741,1
240,241,29.6152713,11.46733495,11.46733495,24.65986891,78.34,9.601481481,2
241,242,34.0917591,5.733667477,11.05045608,21.9169776,83.8,7.144437831,1
242,243,39.0890499,5.733667477,17.20100243,14.95193556,116.73,15.69814815,3
243,244,32.3849093,5.733667477,16.15698348,24.59774335,82.76,5.427824074,2
244,245,32.0103249,5.733667477,16.15698348,24.59774335,82.76,5.440555556,2
245,246,30.8097272,5.733667477,5.733667477,46.46626448,95.94,5.187546296,1
246,247,30.6194204,0.0,15.95036581,45.42390407,62.39,0.0,0
247,248,32.58564,5.733667477,5.733667477,21.08852187,84.66,4.774259259,1
248,249,34.6992884,5.733667477,16.78412356,22.41989318,106.92,12.50005858,2
249,250,32.6559794,5.733667477,11.05045608,30.20718632,75.35,5.208472222,1
