,index,Water_all_overlap_factor_100,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi3n,Chi3v,Chi4n,HallKierAlpha,PEOE_VSA3,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedRings,fr_Al_OH,fr_Al_OH_noTert,fr_NH1,fr_NH2,fr_ether
142,143,28.4025761,4.816496581,4.816496581,2.15824829,2.15824829,1.15824829,0.660352885,0.660352885,0.227062073,-1.06,0.0,0.0,0.0,14.09534397,10.63357721,25.90970342,58.2,0.0,2,0,4,0,0,0,2,0,0
143,144,30.953057,6.79327881,6.79327881,3.686473969,3.686473969,2.54679847,1.735397476,1.735397476,1.021884802,-1.39,0.0,0.0,0.0,13.59242839,5.316788604,36.21387731,66.48,0.0,1,1,5,1,0,0,1,0,0
144,145,32.2385836,4.769675448,4.769675448,2.373905302,2.373905302,1.229507638,0.624422603,0.624422603,0.257821083,-0.77,4.794537184,0.0,0.0,20.19931035,10.63357721,31.33695226,61.36,0.0,3,0,4,0,1,1,2,0,0
145,146,30.4836773,5.7876937,5.7876937,2.543676764,2.543676764,1.523990379,0.910236714,0.910236714,0.350158939,-1.1,9.589074368,0.0,5.733667477,14.21959508,5.733667477,32.20004649,78.62,5.032685185,2,0,5,0,0,0,0,1,2
146,147,28.9182672,6.340099943,6.340099943,3.090099943,3.090099943,2.242046724,1.598044323,1.598044323,0.808858528,-1.1,9.589074368,0.0,0.0,20.76435149,5.316788604,38.24188732,74.54,-1.204861111,1,1,5,1,0,0,1,0,2
147,148,28.6390369,6.988455048,6.988455048,3.190511886,3.190511886,2.215936453,1.604198072,1.604198072,0.869416685,-1.14,14.42666295,0.0,0.0,21.26726707,0.0,43.99408096,68.14,-1.663194444,0,1,6,1,0,0,0,0,2
148,149,30.3145244,5.216308703,5.216308703,2.639628766,2.639628766,2.140520152,1.311174195,1.311174195,0.643089538,-0.61,4.794537184,0.0,5.733667477,20.32356147,5.733667477,31.83179201,61.55,4.604884259,2,1,4,1,0,0,0,1,2
149,150,32.2959488,5.495760984,5.495760984,2.607387541,2.607387541,1.789546584,0.993068643,0.993068643,0.333023589,-0.61,0.0,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,0,4,0,1,1,0,1,1
150,151,32.7280723,5.495760984,5.495760984,2.607387541,2.607387541,1.789546584,0.993068643,0.993068643,0.333023589,-0.61,0.0,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,0,4,0,1,1,0,1,1
151,152,29.9445206,6.682120891,6.682120891,3.060074544,3.060074544,1.935994098,1.184424163,1.184424163,0.499290906,-1.14,9.589074368,0.0,0.0,14.21959508,0.0,48.57919322,93.06,0.0,2,0,6,0,2,2,0,0,2
152,153,32.4324217,5.495760984,5.495760984,2.607387541,2.607387541,1.789546584,0.993068643,0.993068643,0.333023589,-0.61,0.0,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,0,4,0,1,1,0,1,1
153,154,32.571252,5.495760984,5.495760984,2.607387541,2.607387541,1.789546584,0.993068643,0.993068643,0.333023589,-0.61,0.0,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,0,4,0,1,1,0,1,1
154,155,29.988725,7.862192911,7.862192911,4.372786907,4.372786907,3.042633422,2.062533984,2.062533984,1.28781895,-0.65,0.0,0.0,5.733667477,39.95783069,5.733667477,56.86888654,64.79,5.601546674,2,1,5,1,0,0,0,1,2
155,156,33.4200105,6.739912065,7.556408646,3.566332134,5.387699339,2.644230602,1.710106335,3.377440068,1.078484944,-0.62,8.417796984,0.0,0.0,25.16026116,5.316788604,45.58920426,72.47,0.0,1,1,6,1,0,0,1,0,1
156,157,29.4464056,7.421847544,7.421847544,3.427420353,3.427420353,2.030376843,1.214824622,1.214824622,0.575316221,-2.12,9.589074368,0.0,0.0,14.21959508,0.0,46.55293289,104.16,0.0,0,0,8,0,0,0,0,0,2
157,158,27.9246563,6.428573139,6.428573139,3.275703402,3.275703402,2.325453401,1.640473867,1.640473867,1.005137525,-0.2,0.0,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,1,5,1,2,2,0,0,3
158,159,27.8135498,6.428573139,6.428573139,3.275703402,3.275703402,2.325453401,1.640473867,1.640473867,1.005137525,-0.2,0.0,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,1,5,1,2,2,0,0,3
159,160,28.0743187,6.428573139,6.428573139,3.275703402,3.275703402,2.325453401,1.640473867,1.640473867,1.005137525,-0.2,0.0,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,1,5,1,2,2,0,0,3
160,161,28.2566365,6.428573139,6.428573139,3.275703402,3.275703402,2.325453401,1.640473867,1.640473867,1.005137525,-0.2,0.0,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,1,5,1,2,2,0,0,3
161,162,37.4133403,3.171958467,3.988455048,1.169312567,3.060724105,0.86345262,0.165822692,0.497468077,0.0,-0.13,8.417796984,0.0,0.0,6.255769184,4.885402859,19.88081919,66.4,0.0,2,0,5,0,0,0,1,0,0
162,163,30.2421238,5.294239313,5.294239313,2.748129595,2.748129595,1.690607732,0.790477303,0.790477303,0.326807138,-0.61,0.0,0.0,0.0,13.15163837,5.316788604,35.37583928,69.56,0.0,3,0,4,0,2,2,1,0,0
163,164,31.8465061,5.523603362,5.523603362,2.615355072,2.615355072,1.582915944,0.776729726,0.776729726,0.293139653,-1.06,0.0,0.0,0.0,13.59242839,10.63357721,25.40678785,58.2,0.0,2,0,4,0,0,0,2,0,0
164,165,34.7004315,5.072731091,5.072731091,2.550943163,2.550943163,1.73924777,0.927535983,0.927535983,0.500995191,-1.59,4.629038937,0.0,5.733667477,5.733667477,11.46733495,16.22050624,108.03,10.34703704,4,0,6,0,0,0,0,2,0
165,166,34.6883364,4.664482801,4.664482801,2.417600479,2.417600479,1.558419038,0.797258272,0.797258272,0.476633493,-1.39,4.983978521,5.098681808,5.733667477,0.0,5.733667477,21.08852187,84.66,4.850833333,3,0,5,0,0,0,1,1,0
166,167,35.8901847,4.048167227,4.048167227,1.866704582,1.866704582,1.070540988,0.406225868,0.406225868,0.176940015,-1.1,4.794537184,0.0,5.733667477,6.606881965,11.05045608,23.6517036,92.42,4.486944444,4,0,5,0,1,1,1,1,0
167,168,29.4055983,7.083701133,7.083701133,4.122386238,4.122386238,2.745040688,1.830966874,1.830966874,1.161986006,-0.81,4.794537184,0.0,5.733667477,39.39278955,11.05045608,50.3238138,67.59,4.914810878,3,1,5,1,0,0,1,1,1
168,169,32.7469311,3.847025718,3.847025718,1.912580436,1.912580436,1.014634263,0.411034255,0.411034255,0.179101519,-0.77,4.794537184,0.0,5.733667477,13.15163837,11.05045608,24.28928028,75.35,4.617361111,4,0,4,0,1,1,1,1,0
169,170,31.5306214,5.94855969,5.94855969,3.00214275,3.00214275,2.243922505,1.296356081,1.296356081,0.529931697,-0.85,4.794537184,0.0,5.733667477,19.82064589,11.05045608,46.71026784,115.81,3.31099537,6,0,6,0,3,3,1,1,0
170,171,34.5856655,4.977162391,4.977162391,2.815931465,2.815931465,1.84984933,1.108519891,1.108519891,0.749502457,-0.81,4.794537184,0.0,5.733667477,13.08951281,21.68403329,25.41033772,79.18,4.842222222,5,1,5,1,0,0,3,1,0
171,172,34.4165391,5.54011122,5.54011122,3.212778743,3.212778743,2.619838679,1.706463639,1.706463639,1.03438416,-1.06,0.0,0.0,23.30314705,0.0,11.46733495,11.81435946,86.18,9.877592593,4,1,4,1,0,0,0,2,0
